id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-188945,2017-07-03,000001,Vente,220000,2,,RUE DU REMPART ST ETIENNE,7384,31000,31555,Toulouse,31,,,31555820AB0078,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.450952,43.600804
2017-188945,2017-07-03,000001,Vente,220000,2,,RUE DU REMPART ST ETIENNE,7384,31000,31555,Toulouse,31,,,31555820AB0078,,,17,,27,,,,,,,,2,2,Appartement,69,2,,,,,,1.450952,43.600804
2017-188947,2017-07-05,000001,Vente,4000,1,,IMP BITET,1185,31400,31555,Toulouse,31,,,31555836AV0173,,,678,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.491385,43.575701
2017-188949,2017-07-04,000001,Vente en l'état futur d'achèvement,208000,,,RTE D'ALBI,0124,31200,31555,Toulouse,31,,,31555831AI0147,,,51,,,,,,,,,,1,2,Appartement,60,3,,,,,,1.46434,43.640819
2017-188949,2017-07-04,000001,Vente en l'état futur d'achèvement,208000,,,RTE D'ALBI,0124,31200,31555,Toulouse,31,,,31555831AI0147,,,272,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.46434,43.640819
2017-188950,2017-07-05,000001,Vente,175000,27,,GR GDE RUE NAZARETH,6216,31000,31555,Toulouse,31,,,31555815AB0146,,,1,37.5,,,,,,,,,1,4,Local industriel. commercial ou assimilé,50,0,,,,,,1.446575,43.596248
2017-188951,2017-07-04,000001,Vente,193600,12,,RUE ROBERT BORIOS,7528,31000,31555,Toulouse,31,,,31555823AC0080,,,7,54.52,,,,,,,,,1,2,Appartement,55,2,,,,,,1.445092,43.613274
2017-188952,2017-07-04,000001,Vente,125000,8,,RUE DU PONT MONTAUDRAN,7008,31000,31555,Toulouse,31,,,31555815AC0172,,,93,,,,,,,,,,1,2,Appartement,45,2,,,,,,1.455098,43.59873
2017-188952,2017-07-04,000001,Vente,125000,8,,RUE DU PONT MONTAUDRAN,7008,31000,31555,Toulouse,31,,,31555815AC0172,,,171,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.455098,43.59873
2017-188953,2017-07-07,000001,Vente,520120,2,,RUE HENRI MONTAUT,4168,31400,31555,Toulouse,31,,,31555813AC0141,,,1,104.62,2,,,,,,,,2,1,Maison,110,6,,,,,,1.449693,43.58653
2017-188954,2017-07-07,000001,Vente en l'état futur d'achèvement,587500,,,,,,31555,Toulouse,31,,,31555807AD0632,,,42,,,,,,,,,,1,,,,,,,,,,1.468262,43.603972
